epoch,iteration,train/loss,train/acc,train/acc_cls,train/mean_iu,train/fwavacc,valid/loss,valid/acc,valid/acc_cls,valid/mean_iu,valid/fwavacc,elapsed_time
0,0,,,,,,10116.101988916645,14.091842651367188,0.00025164004734584266,0,0,8.317312
0,0,32365.380859375,-117.5024185180664,-1.175024185180664,0.0,0.0,,,,,,8.533313
0,1,3608.819580078125,-30.860614776611328,-0.3086061477661133,0.0,0.0,,,,,,8.540756
0,2,45831.4375,-158.35704040527344,-1.5835704040527343,0.0,0.0,,,,,,8.547039
0,3,55676.01171875,-111.72294616699219,-1.1172294616699219,0.0,0.0,,,,,,8.552619
0,4,92571.0390625,-216.68734741210938,-2.1668734741210938,0.0,0.0,,,,,,8.558007
0,5,57047.43359375,-147.70428466796875,-1.4770428466796874,0.0,0.0,,,,,,8.563422
0,6,59055.94921875,-176.29629516601562,-1.7629629516601562,0.0,0.0,,,,,,8.568929
0,7,13998.6083984375,-72.88792419433594,-0.7288792419433594,0.0,0.0,,,,,,8.574596
0,8,18258.501953125,-51.68263244628906,-0.5168263244628907,0.0,0.0,,,,,,8.580347
0,9,53747.1796875,-112.11927032470703,-1.1211927032470703,0.0,0.0,,,,,,8.586479
0,10,53667.2421875,-168.37242126464844,-1.6837242126464844,0.0,0.0,,,,,,8.591986
0,11,177598.9375,-300.15447998046875,-3.0015447998046874,0.0,0.0,,,,,,8.597435
0,12,66916.2265625,-136.4687957763672,-1.364687957763672,0.0,0.0,,,,,,8.602961
0,13,45629.62109375,-138.2795867919922,-1.382795867919922,0.0,0.0,,,,,,8.609152
0,14,15460.62890625,-1.6495686769485474,-0.016495686769485474,0.0,0.0,,,,,,8.614742
0,15,96090.4609375,-201.02297973632812,-2.0102297973632814,0.0,0.0,,,,,,8.620274
0,16,22005.453125,-29.314159393310547,-0.29314159393310546,0.0,0.0,,,,,,8.625911
0,17,19194.5078125,-93.13959503173828,-0.9313959503173828,0.0,0.0,,,,,,8.632791
0,18,134575.125,-269.3336486816406,-2.6933364868164062,0.0,0.0,,,,,,8.639508
0,19,22701.853515625,-101.20054626464844,-1.0120054626464843,0.0,0.0,,,,,,8.648949
0,20,54097.65234375,-123.38829803466797,-1.2338829803466798,0.0,0.0,,,,,,8.658009
0,21,96284.046875,-219.4239044189453,-2.194239044189453,0.0,0.0,,,,,,8.664499
0,22,68067.328125,-178.52915954589844,-1.7852915954589843,0.0,0.0,,,,,,8.670352
0,23,66857.1875,-164.52430725097656,-1.6452430725097655,0.0,0.0,,,,,,8.676273
0,24,43054.42578125,-117.26919555664062,-1.1726919555664062,0.0,0.0,,,,,,8.68222
0,25,125352.5859375,-258.2541809082031,-2.582541809082031,0.0,0.0,,,,,,8.688763
0,26,30195.037109375,-113.48872375488281,-1.1348872375488281,0.0,0.0,,,,,,8.69508
0,27,51117.74609375,-161.99142456054688,-1.6199142456054687,0.0,0.0,,,,,,8.701277
0,28,19011.23046875,-77.1467514038086,-0.7714675140380859,0.0,0.0,,,,,,8.707299
0,29,106048.5703125,-203.79478454589844,-2.0379478454589846,0.0,0.0,,,,,,8.714121
0,30,114462.21875,-218.08799743652344,-2.1808799743652343,0.0,0.0,,,,,,8.720546
0,31,17822.33984375,-54.71281433105469,-0.5471281433105468,0.0,0.0,,,,,,8.726966
0,32,81511.7890625,-204.76400756835938,-2.047640075683594,0.0,0.0,,,,,,8.732641
0,33,80275.734375,-204.02706909179688,-2.0402706909179686,0.0,0.0,,,,,,8.739626
0,34,8911.78515625,-2.230619192123413,-0.02230619192123413,0.0,0.0,,,,,,8.745884
0,35,7281.49853515625,-45.37556457519531,-0.45375564575195315,0.0,0.0,,,,,,8.752183
0,36,89190.8359375,-201.16836547851562,-2.0116836547851564,0.0,0.0,,,,,,8.757752
0,37,87979.671875,-215.67379760742188,-2.156737976074219,0.0,0.0,,,,,,8.764106
0,38,38708.67578125,-67.73727416992188,-0.6773727416992188,0.0,0.0,,,,,,8.76965
0,39,36530.828125,-105.49612426757812,-1.0549612426757813,0.0,0.0,,,,,,8.775087
0,40,86108.46875,-179.32212829589844,-1.7932212829589844,0.0,0.0,,,,,,8.780839
0,41,131855.96875,-251.97207641601562,-2.5197207641601564,0.0,0.0,,,,,,8.7871
0,42,87459.46875,-185.06227111816406,-1.8506227111816407,0.0,0.0,,,,,,8.792621
0,43,25986.126953125,-39.5518798828125,-0.395518798828125,0.0,0.0,,,,,,8.798148
0,44,47807.1015625,-111.20079803466797,-1.1120079803466796,0.0,0.0,,,,,,8.803485
0,45,163434.4375,-285.50030517578125,-2.8550030517578127,0.0,0.0,,,,,,8.810133
0,46,235.4502410888672,8.738055229187012,0.08738055229187011,0.0,0.0,,,,,,8.821186
0,47,35058.32421875,-128.0883026123047,-1.2808830261230468,0.0,0.0,,,,,,8.827442
0,48,10243.1005859375,-64.2181396484375,-0.642181396484375,0.0,0.0,,,,,,8.837834
0,49,103195.65625,-223.2406463623047,-2.2324064636230467,0.0,0.0,,,,,,8.843839
0,50,146785.609375,-264.3521423339844,-2.643521423339844,0.0,0.0,,,,,,8.84985
0,51,134780.796875,-267.8611145019531,-2.678611145019531,0.0,0.0,,,,,,8.855254
0,52,6104.15478515625,-41.27327346801758,-0.4127327346801758,0.0,0.0,,,,,,8.860722
0,53,14117.8935546875,-74.49394226074219,-0.7449394226074219,0.0,0.0,,,,,,8.866548
0,54,158391.984375,-266.772705078125,-2.66772705078125,0.0,0.0,,,,,,8.872052
0,55,2416.476806640625,-23.562185287475586,-0.23562185287475587,0.0,0.0,,,,,,8.877634
0,56,59692.3828125,-172.82229614257812,-1.7282229614257814,0.0,0.0,,,,,,8.883047
0,57,5072.57080078125,-39.563926696777344,-0.39563926696777346,0.0,0.0,,,,,,8.888727
0,58,49768.95703125,-154.17945861816406,-1.5417945861816407,0.0,0.0,,,,,,8.894386
0,59,20564.83203125,-18.121028900146484,-0.18121028900146485,0.0,0.0,,,,,,8.900067
0,60,37844.7890625,-137.6338348388672,-1.376338348388672,0.0,0.0,,,,,,8.905801
